A1;997.845
A2;999.860
A3;998.428
A4;999.767
A5;998.418
A6;1.000.034
A7;998.016
A8;998.265
A9;997.327
A10;995.855
A11;995.550
A12;996.657
A13;995.737
A14;995.754
A15;996.038
A16;995.723
A17;996.842
A18;995.948
A19;996.012
A20;996.216
A21;995.736
A22;996.148
A23;996.419
A24;996.277
A25;995.673
A26;996.349
A27;995.524
A28;995.601
A29;996.608
B1;996.957
B2;996.710
B3;995.821
B4;995.598
B5;985.568
B6;985.538
B7;995.192
B8;985.631
B9;986.138
B10;995.535
B11;986.299
B12;985.163
B13;995.531
B14;985.494
B15;985.990
B16;994.722
B17;985.984
B18;995.848
B19;995.541
C1;995.956
C2;995.565
C3;996.594
C4;995.500
C5;997.278
C6;996.576
C7;995.982
C8;995.710
C9;995.430
C10;995.619
C11;996.190
C12;996.283
C13;996.028
C14;996.766
C15;995.751
C16;995.359
C17;995.666
C18;995.386
C19;995.165
C20;996.369
C21;994.993
C22;995.303
C23;996.308
C24;995.554
C25;995.666
C26;997.130
C27;995.631
C28;995.589
C29;996.348
D1;995.617
D2;995.925
D3;995.528
D4;995.705
D5;994.534
D6;994.562
D7;994.663
D8;995.358
D9;995.133
D10;996.613
D11;995.096
D12;996.489
D13;995.482
D14;996.261
D15;995.386
D16;996.092
D17;995.399
D18;996.946
D19;996.521
D20;996.714
D21;997.244
D22;998.090
